budget,industry,target_age_group,campaign_goal,impressions,clicks,conversions,engagement_rate,cost_per_click,best_platform
14304.13,Travel,18-24,Awareness,1238544,146653,16268,0.1138,0.1,TikTok
8500.62,Automotive,55+,Awareness,950615,39331,2230,0.0385,0.22,Twitter
24537.88,Tech,45-54,Traffic,1944630,44024,1661,0.025,0.56,Facebook
15749.01,Fashion,18-24,Awareness,1373386,264054,15861,0.1896,0.06,YouTube Shorts
22002.52,Fashion,35-44,Conversion,2257028,215372,15091,0.0973,0.1,Pinterest
38543.42,Food,13-17,Conversion,3386385,381406,40445,0.1096,0.1,TikTok
46451.77,Education,13-17,Lead Generation,5025990,233413,11218,0.0512,0.2,Twitter
28061.66,Fashion,55+,Traffic,3127305,101498,4447,0.0313,0.28,Facebook
13081.1,Travel,25-34,Traffic,1023732,91879,4174,0.0877,0.14,Pinterest
40600.61,Healthcare,25-34,Traffic,3982055,469979,56534,0.1108,0.09,YouTube Shorts
44387.55,Real Estate,35-44,Engagement,5104799,17324,1455,0.0094,2.56,Facebook
43090.03,Gaming,18-24,Traffic,3938014,186909,28236,0.0502,0.23,Instagram
42180.14,Services,35-44,Engagement,3117595,263189,13232,0.085,0.16,Twitter
1754.86,Healthcare,25-34,Traffic,171952,20921,2230,0.1277,0.08,TikTok
33179.77,Tech,35-44,Awareness,3334134,128779,6479,0.0462,0.26,Facebook
17423.04,Services,13-17,Awareness,1323112,128911,21125,0.1002,0.14,TikTok
30984.58,Services,35-44,Traffic,2417262,70120,7500,0.0287,0.44,Pinterest
34356.21,Real Estate,45-54,Lead Generation,3397605,106956,8626,0.0284,0.32,Facebook
40654.61,E-commerce,18-24,Awareness,3728163,537119,77158,0.1498,0.08,TikTok
5174.93,Tech,35-44,Lead Generation,401600,13626,1321,0.0369,0.38,LinkedIn
17742.66,Healthcare,25-34,Lead Generation,1662837,50669,3928,0.0336,0.35,Twitter
28641.75,Services,25-34,Awareness,2599009,104365,6147,0.0377,0.27,Instagram
21735.2,Services,18-24,Engagement,1932788,185129,29109,0.0957,0.12,YouTube Shorts
44828.4,Gaming,35-44,Lead Generation,3398153,108235,8800,0.0223,0.41,Facebook
30320.83,Services,35-44,Conversion,2690661,98165,11142,0.0349,0.31,LinkedIn
34557.49,Tech,18-24,Engagement,2968608,310954,32544,0.1119,0.11,TikTok
35458.99,Tech,35-44,Conversion,2265405,15692,874,0.0105,2.26,Facebook
12811.85,Gaming,25-34,Conversion,1007873,11443,477,0.0041,1.12,LinkedIn
41228.12,Real Estate,13-17,Lead Generation,3975363,64446,697,0.019,0.64,Twitter
11567.99,Real Estate,55+,Awareness,985464,27326,1217,0.0272,0.42,Facebook
8727.66,Education,13-17,Traffic,985348,31218,3007,0.0257,0.28,Twitter
14407.68,Education,25-34,Conversion,1435647,141918,21480,0.1061,0.1,YouTube Shorts
19719.29,Food,35-44,Traffic,1720624,41497,4046,0.0224,0.48,Twitter
30337.7,Services,35-44,Engagement,2873993,79533,5012,0.0238,0.38,Facebook
27803.6,Real Estate,18-24,Traffic,2176704,173472,20721,0.078,0.16,Instagram
19354.1,Services,25-34,Traffic,1726014,185349,15559,0.1196,0.1,TikTok
40738.6,Services,55+,Engagement,3491489,79613,5768,0.0251,0.51,Facebook
47725.53,Education,35-44,Awareness,3251557,95743,8191,0.0371,0.5,Pinterest
26255.23,Healthcare,18-24,Traffic,2258285,364891,69407,0.1513,0.07,YouTube Shorts
29702.82,Automotive,35-44,Awareness,2351017,116883,8240,0.044,0.25,Pinterest
49032.9,Gaming,18-24,Engagement,5677362,795247,80994,0.1388,0.06,YouTube Shorts
39290.82,Gaming,35-44,Awareness,3534622,122799,9323,0.0348,0.32,Facebook
49011.61,Food,45-54,Lead Generation,3723223,35083,2746,0.0185,1.4,Twitter
7371.95,Education,18-24,Conversion,509488,46720,7391,0.092,0.16,YouTube Shorts
10018.31,Tech,25-34,Lead Generation,732407,23078,1368,0.032,0.43,LinkedIn
25419.15,Tech,25-34,Awareness,2242215,79472,8834,0.036,0.32,Instagram
30065.27,Real Estate,55+,Awareness,2586667,95294,4230,0.033,0.32,Facebook
37499.81,Real Estate,25-34,Traffic,2631772,101736,8075,0.0385,0.37,Pinterest
18030.26,Tech,13-17,Traffic,1400382,170255,11638,0.1203,0.11,YouTube Shorts
26999.11,Travel,35-44,Traffic,1440119,40636,1375,0.0215,0.66,Facebook
28108.24,Food,25-34,Traffic,2839265,151633,16440,0.0498,0.19,Instagram
49332.5,Automotive,25-34,Conversion,4016780,162603,15440,0.0428,0.3,Instagram
4471.57,Automotive,25-34,Awareness,389822,18302,1070,0.038,0.24,Twitter
28059.76,Education,35-44,Traffic,2064468,75368,3011,0.0393,0.37,Pinterest
36944.24,Food,18-24,Awareness,3563754,515415,43795,0.1446,0.07,TikTok
26863.18,Food,13-17,Lead Generation,2128414,180738,17517,0.0799,0.15,YouTube Shorts
38131.28,Services,45-54,Awareness,2785359,10822,605,0.001,3.52,Facebook
36677.94,Tech,45-54,Lead Generation,3986965,136677,8511,0.0349,0.27,Pinterest
8600.97,Services,35-44,Engagement,864602,16768,1127,0.0304,0.51,Facebook
34307.61,Healthcare,35-44,Awareness,3068241,89178,11073,0.0255,0.38,LinkedIn
18090.44,E-commerce,13-17,Awareness,1552590,132065,7762,0.0839,0.14,YouTube Shorts
31571.55,Gaming,35-44,Conversion,2486912,90893,9581,0.0334,0.35,Pinterest
49885.78,Automotive,18-24,Engagement,4779636,679626,69992,0.144,0.07,YouTube Shorts
43899.9,Healthcare,18-24,Lead Generation,3438698,253096,24776,0.0757,0.17,Instagram
32236.81,Tech,25-34,Conversion,2990132,273604,18376,0.0856,0.12,Twitter
47390.53,Healthcare,25-34,Traffic,5907398,181895,11084,0.0318,0.26,Pinterest
5559.53,Automotive,35-44,Engagement,528635,20564,1158,0.042,0.27,Twitter
46315.64,Real Estate,18-24,Awareness,4300837,842593,96615,0.1989,0.05,TikTok
39495.6,Healthcare,45-54,Engagement,2795771,42275,211,0.0229,0.93,Facebook
2125.91,E-commerce,25-34,Conversion,131920,17374,1599,0.1265,0.12,TikTok
1148.18,Gaming,18-24,Traffic,78537,8910,1090,0.1006,0.13,TikTok
10890.33,Travel,45-54,Conversion,836345,11792,815,0.0143,0.92,LinkedIn
38888.62,Tech,18-24,Awareness,3942240,92431,3425,0.0172,0.42,TikTok
17050.96,Food,13-17,Awareness,1685052,137020,21657,0.081,0.12,YouTube Shorts
42069.55,Travel,55+,Engagement,2203819,73540,3494,0.0372,0.57,Facebook
40095.85,Real Estate,13-17,Awareness,3836971,253331,26601,0.0672,0.16,YouTube Shorts
48151.14,Real Estate,45-54,Conversion,3329026,80644,4423,0.0272,0.6,Pinterest
10790.37,Travel,18-24,Awareness,714681,72284,8139,0.0965,0.15,Instagram
17125.36,Services,18-24,Engagement,1430782,137492,22085,0.0985,0.12,YouTube Shorts
43122.87,Education,25-34,Traffic,3034137,95771,6385,0.0317,0.45,Pinterest
25866.65,Tech,45-54,Conversion,2827523,56957,2050,0.0171,0.45,Facebook
26521.66,Food,25-34,Traffic,2473886,117351,8725,0.0374,0.23,Pinterest
1044.29,Travel,18-24,Lead Generation,113365,13308,1868,0.1224,0.08,Instagram
20516.88,E-commerce,35-44,Traffic,1439387,3149,237,0.0015,6.51,LinkedIn
14790.34,Services,25-34,Conversion,1490934,30735,4076,0.0254,0.48,LinkedIn
24445.87,Real Estate,13-17,Lead Generation,2131151,145049,18755,0.0669,0.17,YouTube Shorts
31354.96,Automotive,18-24,Traffic,2040041,150747,13842,0.0656,0.21,TikTok
41045.56,Education,25-34,Conversion,4061140,78908,13080,0.0282,0.52,Instagram
48123.89,Automotive,13-17,Conversion,4538567,136811,4554,0.0293,0.35,Twitter
38072.27,Real Estate,18-24,Lead Generation,3242624,365528,54601,0.1114,0.1,TikTok
47230.94,Healthcare,13-17,Awareness,4161768,526024,36258,0.125,0.09,TikTok
36685.67,Travel,18-24,Lead Generation,2587913,231267,35075,0.0861,0.16,Instagram
16295.47,Travel,18-24,Conversion,1702242,81690,1614,0.0435,0.2,Twitter
34966.29,Tech,25-34,Conversion,3042933,116080,4806,0.0361,0.3,LinkedIn
37023.86,Gaming,35-44,Awareness,3038032,74829,2437,0.0301,0.49,LinkedIn
26682.39,Automotive,35-44,Lead Generation,1994469,143430,2956,0.0745,0.19,Instagram
49212.13,Real Estate,55+,Engagement,2884865,11016,835,0.0082,4.47,Facebook
15167.25,Real Estate,13-17,Traffic,1342502,156453,12526,0.1088,0.1,TikTok
40000.47,Automotive,45-54,Traffic,2904683,115871,5413,0.0283,0.35,Twitter
3716.83,Travel,45-54,Engagement,349231,6843,342,0.0202,0.54,Facebook
39089.43,E-commerce,35-44,Traffic,2987949,104707,7269,0.0392,0.37,Facebook
11578.97,Gaming,18-24,Lead Generation,1296128,208804,21818,0.1642,0.06,TikTok
42683.58,Fashion,35-44,Awareness,3499597,89369,7104,0.0301,0.48,Facebook
36309.3,Gaming,18-24,Conversion,3107464,212806,17154,0.0683,0.17,Twitter
17716.56,Healthcare,18-24,Conversion,1628828,87665,11591,0.0526,0.2,TikTok
43431.06,E-commerce,13-17,Conversion,3207917,43851,3152,0.0183,0.99,Twitter
43656.25,Automotive,25-34,Lead Generation,3806856,92740,5903,0.0183,0.47,LinkedIn
28031.0,Tech,18-24,Engagement,2124041,172865,16630,0.0826,0.16,YouTube Shorts
31883.28,E-commerce,45-54,Traffic,2814887,65218,5970,0.0219,0.49,Facebook
39545.95,Services,18-24,Lead Generation,3003249,176105,34142,0.0598,0.22,Instagram
42694.53,Healthcare,45-54,Conversion,4852748,143897,13599,0.0241,0.3,Pinterest
1595.12,Travel,55+,Lead Generation,124651,5085,180,0.0414,0.31,Twitter
22843.66,E-commerce,45-54,Conversion,2184432,45887,2235,0.0198,0.5,Twitter
43468.69,Automotive,45-54,Conversion,3325352,57693,2389,0.0115,0.75,Pinterest
32757.51,Fashion,25-34,Awareness,3333385,300240,41514,0.0884,0.11,Instagram
38170.69,Automotive,18-24,Traffic,3650455,425020,75485,0.1169,0.09,YouTube Shorts
30561.67,Travel,25-34,Awareness,2742799,116535,4672,0.0403,0.26,Pinterest
39979.18,Services,25-34,Traffic,3383004,118342,7838,0.0358,0.34,LinkedIn
34901.6,Gaming,45-54,Conversion,2941658,59751,2200,0.0203,0.58,Pinterest
28202.61,Food,25-34,Awareness,1533488,111839,5184,0.0742,0.25,Pinterest
20147.7,Food,35-44,Traffic,1906227,76479,5464,0.043,0.26,Facebook
6648.89,E-commerce,25-34,Conversion,703101,113825,17579,0.1696,0.06,YouTube Shorts
31452.58,Real Estate,35-44,Traffic,2420951,113984,7289,0.0405,0.28,Twitter
8617.97,Fashion,25-34,Awareness,935138,94929,19607,0.103,0.09,Instagram
48805.33,Healthcare,13-17,Conversion,3728458,477904,98300,0.1283,0.1,TikTok
32836.52,Gaming,18-24,Traffic,4315071,342305,30675,0.0802,0.1,Instagram
42102.39,Gaming,25-34,Awareness,3896233,81821,8233,0.0191,0.51,LinkedIn
2485.4,Food,13-17,Engagement,226627,12582,661,0.0559,0.2,Twitter
39751.33,Tech,18-24,Traffic,2455371,115582,6641,0.0408,0.34,Twitter
35933.34,Fashion,55+,Traffic,2692328,52148,4352,0.0195,0.69,Facebook
20548.53,Gaming,35-44,Engagement,2019322,99871,4566,0.0481,0.21,Pinterest
13277.6,Education,45-54,Engagement,987572,27946,1524,0.0361,0.48,Facebook
22714.49,Gaming,18-24,Traffic,1540549,165173,20581,0.1043,0.14,TikTok
19278.25,Gaming,45-54,Engagement,1015805,34104,2708,0.03,0.57,Facebook
27225.34,Gaming,35-44,Engagement,2298952,143831,8779,0.0589,0.19,Twitter
22883.85,E-commerce,45-54,Conversion,1259229,31944,2776,0.0208,0.72,LinkedIn
24697.91,Real Estate,18-24,Conversion,1714069,260281,20266,0.1488,0.09,YouTube Shorts
36676.06,Services,18-24,Awareness,2446858,161115,20600,0.0661,0.23,Instagram
31083.44,Tech,45-54,Traffic,2673563,70845,4887,0.0255,0.44,Pinterest
47073.33,E-commerce,55+,Conversion,5283067,150259,7693,0.0334,0.31,Facebook
20641.94,Education,45-54,Awareness,2198939,79663,5346,0.0334,0.26,Pinterest
33545.87,Gaming,45-54,Engagement,3171123,106750,7981,0.0272,0.31,LinkedIn
16754.87,Gaming,35-44,Awareness,1933936,89135,1502,0.0417,0.19,Pinterest
22498.76,E-commerce,35-44,Awareness,2017715,39266,2903,0.0131,0.57,Facebook
43235.02,Fashion,45-54,Lead Generation,3662047,53736,1576,0.0205,0.8,Facebook
24096.43,Services,25-34,Engagement,2165714,180587,34822,0.0825,0.13,Instagram
874.36,Travel,35-44,Conversion,79463,1313,119,0.0175,0.67,LinkedIn
14601.21,Food,18-24,Lead Generation,1545976,151798,8679,0.0936,0.1,Instagram
48847.9,Tech,35-44,Awareness,4198353,127939,17373,0.0288,0.38,Instagram
28581.95,Travel,13-17,Awareness,2666334,294449,51400,0.1093,0.1,YouTube Shorts
627.91,Healthcare,35-44,Conversion,57262,2769,285,0.0455,0.23,LinkedIn
45341.61,Education,25-34,Lead Generation,4109132,94448,7884,0.0176,0.48,Instagram
40571.73,Travel,25-34,Traffic,4754083,74679,4943,0.0216,0.54,Twitter
11228.62,Tech,13-17,Awareness,929673,108170,22544,0.1115,0.1,TikTok
29926.58,Education,25-34,Lead Generation,3279556,138774,13579,0.0339,0.22,Instagram
41026.0,Automotive,45-54,Engagement,3318922,93161,7207,0.0318,0.44,Facebook
9997.43,E-commerce,25-34,Engagement,666237,9112,588,0.0135,1.1,LinkedIn
12068.75,Services,25-34,Engagement,1176738,54893,7408,0.0566,0.22,Instagram
49709.9,Gaming,18-24,Traffic,4537782,748802,88185,0.1685,0.07,TikTok
48102.45,Healthcare,45-54,Engagement,4542853,70497,4344,0.0201,0.68,Twitter
17704.79,Travel,45-54,Engagement,1131209,22653,1712,0.0197,0.78,Facebook
31367.49,Services,35-44,Engagement,2836410,63093,4520,0.0197,0.5,Facebook
11754.19,Food,18-24,Awareness,789179,47012,2612,0.0593,0.25,Instagram
30229.42,Food,18-24,Traffic,2949706,325047,37719,0.1098,0.09,TikTok
43468.81,Real Estate,18-24,Traffic,4341691,372265,33418,0.0866,0.12,TikTok
11568.91,Automotive,35-44,Traffic,1004220,60890,13710,0.0642,0.19,Instagram
30509.52,Food,55+,Awareness,1992956,39416,2124,0.0251,0.77,Facebook
1777.69,Tech,25-34,Lead Generation,165228,6691,600,0.0408,0.27,LinkedIn
14248.75,Food,45-54,Traffic,1479683,13547,537,0.0034,1.05,LinkedIn
3379.11,Healthcare,35-44,Awareness,270138,13481,1454,0.053,0.25,Instagram
31842.89,E-commerce,13-17,Engagement,2371496,59585,2350,0.0227,0.53,Twitter
6970.16,Travel,45-54,Traffic,568964,20944,501,0.0427,0.33,Pinterest
19660.4,Travel,45-54,Lead Generation,1556292,101942,5333,0.0587,0.19,Pinterest
9889.89,Healthcare,35-44,Traffic,767390,17941,1619,0.0294,0.55,LinkedIn
5931.94,Food,35-44,Awareness,490109,15599,956,0.032,0.38,LinkedIn
12552.16,Tech,18-24,Engagement,983158,20730,300,0.0255,0.61,Twitter
7090.68,Healthcare,25-34,Lead Generation,620432,16302,1249,0.0247,0.43,LinkedIn
41344.04,Real Estate,18-24,Lead Generation,2173552,48568,2664,0.0205,0.85,Twitter
7933.37,Real Estate,18-24,Lead Generation,690583,123367,15715,0.1805,0.06,YouTube Shorts
47846.82,Real Estate,18-24,Awareness,3369650,232009,21744,0.0629,0.21,TikTok
18064.65,Fashion,18-24,Engagement,1586550,243221,22206,0.1539,0.07,YouTube Shorts
48811.55,E-commerce,18-24,Awareness,4063023,416327,59523,0.1026,0.12,YouTube Shorts
40036.35,Tech,13-17,Traffic,3564391,426435,59834,0.112,0.09,YouTube Shorts
2664.91,Tech,13-17,Conversion,147915,8077,306,0.0443,0.33,Twitter
6514.32,Food,25-34,Engagement,633426,50959,2463,0.0761,0.13,Pinterest
13292.37,Travel,18-24,Awareness,1250586,75142,9720,0.0666,0.18,YouTube Shorts
13831.9,Gaming,18-24,Conversion,1240870,109300,14311,0.0911,0.13,TikTok
36773.68,Fashion,25-34,Engagement,4560864,445334,22075,0.0948,0.08,Instagram
31996.42,Travel,35-44,Engagement,2132098,37461,2359,0.0186,0.85,LinkedIn
15890.98,Tech,25-34,Conversion,1633682,87772,15752,0.0587,0.18,Instagram
758.87,Food,55+,Engagement,51910,427,18,0.0105,1.78,Facebook
18731.32,Services,18-24,Traffic,1687332,206061,36738,0.1306,0.09,TikTok
1939.03,Gaming,25-34,Lead Generation,130474,2706,202,0.0158,0.72,LinkedIn
29209.2,Fashion,35-44,Lead Generation,3012212,137764,12653,0.0406,0.21,LinkedIn
32006.29,Fashion,13-17,Awareness,3127812,462208,79621,0.1474,0.07,YouTube Shorts
21983.96,Food,25-34,Awareness,1418362,36522,3343,0.0248,0.6,LinkedIn
25060.24,Gaming,35-44,Engagement,2459304,86768,5290,0.0335,0.29,Facebook
29497.6,Automotive,18-24,Awareness,2594594,319008,45028,0.125,0.09,TikTok
40230.84,Services,35-44,Engagement,3388456,82533,5977,0.0233,0.49,LinkedIn
39120.55,Fashion,18-24,Awareness,2738841,230738,35191,0.0845,0.17,Instagram
2707.45,Real Estate,25-34,Engagement,191405,3893,160,0.0257,0.7,LinkedIn
8240.9,Gaming,55+,Engagement,640031,10593,801,0.0263,0.78,Facebook
17693.49,E-commerce,35-44,Conversion,1640878,71422,7059,0.0513,0.25,Instagram
48987.77,Services,35-44,Traffic,4612793,47392,1826,0.0166,1.03,Facebook
6147.74,Education,25-34,Lead Generation,447839,13428,1382,0.029,0.46,LinkedIn
11756.77,Real Estate,45-54,Lead Generation,1036327,52079,4104,0.0394,0.23,Facebook
24492.47,Gaming,25-34,Traffic,2820310,96921,3810,0.0255,0.25,Pinterest
18120.68,Real Estate,45-54,Engagement,1936382,65984,3480,0.0299,0.27,Pinterest
26209.6,Food,18-24,Engagement,2428875,204943,24331,0.0828,0.13,Instagram
3727.63,E-commerce,25-34,Traffic,366124,17134,2052,0.0517,0.22,Instagram
20170.38,Travel,25-34,Awareness,1279323,45708,2131,0.0311,0.44,Twitter
15961.28,Services,13-17,Lead Generation,1310783,85705,5344,0.0715,0.19,Twitter
8718.7,Gaming,25-34,Engagement,705528,50776,1743,0.0718,0.17,Twitter
36765.44,E-commerce,25-34,Lead Generation,2778778,115973,5700,0.04,0.32,Twitter
49213.46,E-commerce,18-24,Lead Generation,4499321,323413,51561,0.0728,0.15,YouTube Shorts
28207.91,Automotive,18-24,Lead Generation,2535522,332810,35235,0.1303,0.08,YouTube Shorts
45951.3,Education,25-34,Engagement,4410502,170256,10760,0.0442,0.27,LinkedIn
17092.8,Fashion,25-34,Engagement,1593065,136394,7183,0.0868,0.13,Pinterest
37113.73,Tech,18-24,Awareness,3854479,246153,20892,0.0715,0.15,Twitter
31890.04,Automotive,25-34,Conversion,3278780,19300,1621,0.0082,1.65,LinkedIn
32936.48,Gaming,25-34,Awareness,2612808,358997,25668,0.1404,0.09,YouTube Shorts
15545.35,Fashion,35-44,Awareness,1476993,31276,3023,0.0272,0.5,LinkedIn
509.33,Gaming,35-44,Conversion,32382,211,7,0.0094,2.41,Facebook
48851.62,Fashion,25-34,Conversion,4086046,249058,15892,0.0593,0.2,Pinterest
14964.8,Gaming,25-34,Awareness,1410140,184983,30233,0.1359,0.08,YouTube Shorts
31936.91,Education,18-24,Engagement,2579535,247861,27575,0.0967,0.13,YouTube Shorts
15412.63,E-commerce,45-54,Engagement,1063208,20429,1924,0.0145,0.75,Facebook
41988.53,Real Estate,35-44,Lead Generation,3256719,34217,3006,0.0087,1.23,Facebook
11401.15,Services,35-44,Engagement,1261394,46825,3643,0.0427,0.24,LinkedIn
22447.31,Healthcare,18-24,Engagement,2497122,368802,55805,0.1528,0.06,TikTok
24639.52,Food,18-24,Engagement,2298184,263211,49431,0.1143,0.09,YouTube Shorts
644.59,Gaming,13-17,Awareness,56782,7796,438,0.1382,0.08,YouTube Shorts
10206.84,E-commerce,45-54,Conversion,765092,11500,691,0.0161,0.89,Facebook
42274.27,E-commerce,25-34,Conversion,2679470,53190,1762,0.0223,0.79,Pinterest
40925.77,Education,25-34,Awareness,4295538,138738,11078,0.0313,0.29,Pinterest
22804.55,Automotive,25-34,Conversion,1554067,155346,20805,0.0971,0.15,YouTube Shorts
30591.31,Services,25-34,Lead Generation,2667620,108879,10663,0.0328,0.28,LinkedIn
23083.71,Food,25-34,Awareness,1620298,137921,16974,0.0858,0.17,Instagram
47115.42,Fashion,25-34,Awareness,5001961,338628,40890,0.0682,0.14,Instagram
30822.39,Fashion,35-44,Awareness,2787038,200757,24962,0.0778,0.15,Instagram
15104.52,Education,45-54,Engagement,1304919,26505,1045,0.0195,0.57,Facebook
3835.54,Education,13-17,Awareness,388363,38854,3411,0.0996,0.1,YouTube Shorts
11700.82,Healthcare,35-44,Engagement,752620,37716,2438,0.0519,0.31,Pinterest
30253.17,Healthcare,18-24,Conversion,3244057,240696,17190,0.0755,0.13,TikTok
17620.93,Services,35-44,Awareness,938512,65492,3276,0.0634,0.27,Twitter
34017.47,E-commerce,18-24,Awareness,2589173,172609,22647,0.0668,0.2,TikTok
48615.25,E-commerce,55+,Lead Generation,3785398,111836,7625,0.0301,0.43,Twitter
19705.34,Gaming,13-17,Conversion,1570027,72850,9409,0.0469,0.27,TikTok
49745.47,Gaming,18-24,Engagement,3647895,426712,57985,0.1171,0.12,YouTube Shorts
38214.14,Tech,45-54,Lead Generation,2937134,26567,1795,0.013,1.44,LinkedIn
12134.34,Services,55+,Engagement,1061681,15082,796,0.0126,0.8,Facebook
49695.5,Fashion,35-44,Lead Generation,3328830,61802,5488,0.0195,0.8,Twitter
42701.61,Services,18-24,Engagement,4630075,765269,27614,0.1683,0.06,YouTube Shorts
27691.46,Services,25-34,Conversion,3171184,83964,6135,0.0264,0.33,Pinterest
24825.2,Food,25-34,Traffic,1840067,69186,802,0.0364,0.36,Twitter
36422.96,Fashion,55+,Traffic,2160370,22881,2148,0.003,1.59,Facebook
3443.84,Fashion,13-17,Awareness,342477,19735,1515,0.0615,0.17,YouTube Shorts
25766.41,Automotive,18-24,Lead Generation,2096838,384260,63036,0.1785,0.07,TikTok
40319.64,Services,18-24,Engagement,3737480,271669,38209,0.0691,0.15,Instagram
37794.68,Services,55+,Lead Generation,3614099,139671,11369,0.0369,0.27,Facebook
4343.64,Education,18-24,Traffic,359793,29649,3192,0.0864,0.15,YouTube Shorts
47778.2,Tech,25-34,Lead Generation,4629420,301731,8340,0.0659,0.16,Twitter
20442.23,Tech,18-24,Traffic,1449383,56184,6306,0.0346,0.36,Instagram
42190.42,Travel,35-44,Lead Generation,2711029,33689,3088,0.0159,1.25,LinkedIn
29500.31,Travel,18-24,Traffic,2289974,277942,22529,0.1173,0.11,YouTube Shorts
7572.36,Services,18-24,Engagement,606823,23261,1831,0.0432,0.33,Twitter
25800.89,Education,35-44,Awareness,1793341,54264,4477,0.0346,0.48,Facebook
6931.53,Education,18-24,Awareness,699385,75442,5464,0.1173,0.09,TikTok
6243.12,Fashion,18-24,Lead Generation,541049,21473,1676,0.0374,0.29,Twitter
35795.78,Travel,18-24,Lead Generation,3148587,346391,37187,0.1131,0.1,YouTube Shorts
49973.58,Fashion,13-17,Engagement,4225137,104582,17200,0.0251,0.48,TikTok
642.62,Fashion,35-44,Engagement,41840,4288,408,0.0944,0.15,Instagram
36659.57,Education,45-54,Conversion,3531703,109444,5616,0.0315,0.33,Facebook
36986.28,Food,25-34,Traffic,2955251,375838,30181,0.1148,0.1,YouTube Shorts
33509.9,Automotive,45-54,Conversion,3592203,85460,5751,0.0223,0.39,LinkedIn
1456.72,Services,25-34,Traffic,66161,2687,85,0.0367,0.54,LinkedIn
23472.71,Food,45-54,Lead Generation,2071343,239501,10904,0.1104,0.1,Pinterest
48812.68,E-commerce,13-17,Engagement,4289830,457231,41292,0.1017,0.11,YouTube Shorts
32272.07,Travel,25-34,Engagement,3123764,414791,51950,0.1276,0.08,Instagram
41573.27,Education,18-24,Conversion,3118262,245900,30982,0.0773,0.17,TikTok
3363.3,Travel,35-44,Engagement,297519,25026,2386,0.0904,0.13,Instagram
44855.72,Travel,13-17,Traffic,4763449,169394,8911,0.0339,0.26,Twitter
40588.08,Automotive,35-44,Conversion,2902770,112931,6916,0.0424,0.36,Twitter
7791.5,Tech,25-34,Traffic,906487,12337,785,0.0216,0.63,Pinterest
48134.36,Healthcare,35-44,Lead Generation,4229802,77697,3796,0.0069,0.62,LinkedIn
44934.9,Real Estate,35-44,Engagement,4222700,10281,680,0.0062,4.37,Pinterest
49743.56,Fashion,25-34,Engagement,4475808,126937,3510,0.0305,0.39,Twitter
49068.3,Travel,13-17,Traffic,4184898,509296,71054,0.1249,0.1,TikTok
23182.62,Food,35-44,Awareness,2337271,183329,13003,0.0761,0.13,Pinterest
2779.81,Healthcare,18-24,Conversion,217432,7930,517,0.0388,0.35,Twitter
20436.84,Automotive,45-54,Awareness,1925670,10437,1252,0.0199,1.96,LinkedIn
37836.12,Food,25-34,Engagement,3549632,424102,40845,0.1135,0.09,TikTok
18249.63,Food,35-44,Lead Generation,1755456,29022,2152,0.022,0.63,Twitter
28384.57,Services,45-54,Conversion,2457119,195990,6544,0.0843,0.14,Twitter
44681.63,Travel,18-24,Traffic,4810751,472800,56507,0.1055,0.09,YouTube Shorts
15136.89,Real Estate,35-44,Awareness,1214759,41731,2561,0.0414,0.36,LinkedIn
20765.9,Services,18-24,Awareness,2063422,203113,30390,0.0933,0.1,TikTok
26025.14,Food,25-34,Conversion,2472192,234863,51053,0.0867,0.11,Instagram
